Country,Tourists_in_1000s
Afghanistan,0
Albania,5340000
Algeria,2657000
Andorra,3042000
Angola,218000
Anguilla,0
Antigua and Barbuda,269000
Argentina,6942000
Armenia,1652000
Aruba,1082000
Australia,9246000
Austria,30816000
Azerbaijan,2633000
Bahamas,1633000
Bahrain,12045000
Bangladesh,1026000
Barbados,680000
Belarus,11501600
Belgium,9119000
Belize,489000
Benin,295000
Bermuda,282000
Bhutan,274000
Bolivia,1142000
Bosnia and Herzegovina,1053000
Botswana,1623000
Brazil,6621000
British Virgin Islands,192000
Brunei,278000
Bulgaria,9273000
Burkina Faso,144000
Burundi,299000
CAR,107000
Cabo Verde,710000
Cambodia,6201000
Cameroon,1081000
Canada,21134000
Caribbean Netherlands,7351484
Cayman Islands,463000
Chad,87000
Channel Islands,0
Chile,5723000
China,62900000
Colombia,3904000
Comoros,35900
Congo,156000
Costa Rica,3017000
Croatia,16645000
Cuba,4684000
Curaçao,432000
Cyprus,3939000
Czechia,10611000
DRC,0
Denmark,12749000
Diamond Princess,0
Djibouti,0
Dominica,63000
Dominican Republic,6569000
Ecuador,2535000
Egypt,11196000
El Salvador,1677300
Equatorial Guinea,0
Eritrea,0
Estonia,3234000
Eswatini,782000
Ethiopia,849000
Faeroe Islands,0
Falkland Islands,0
Fiji,870000
Finland,3224000
France,89322000
French Guiana,0
French Polynesia,216300
Gabon,0
Gambia,552000
Georgia,4757000
Germany,38881000
Ghana,0
Gibraltar,0
Greece,30123000
Greenland,0
Grenada,185000
Guadeloupe,1549000
Guatemala,1781000
Guinea,99000
Guinea-Bissau,0
Guyana,287000
Haiti,447000
Honduras,851000
Hong Kong,29263000
Hungary,17552000
Iceland,2343800
India,17423000
Indonesia,15810000
Iran,7295000
Iraq,0
Ireland,10926000
Isle of Man,0
Israel,4121000
Italy,61567200
Ivory Coast,0
Jamaica,2473000
Japan,31192000
Jordan,4150000
Kazakhstan,8789000
Kenya,1364000
Kuwait,8508000
Kyrgyzstan,423000
Laos,3770000
Latvia,1946000
Lebanon,1964000
Liberia,0
Libya,0
Liechtenstein,85300
Lithuania,2825000
Luxembourg,1018000
MS Zaandam,0
Macao,18493000
Madagascar,291000
Malawi,871000
Malaysia,25832000
Maldives,1484000
Mali,14000
Malta,2599000
Martinique,6800
Mauritania,0
Mauritius,1399000
Mayotte,0
Mexico,41313000
Moldova,160000
Monaco,347000
Mongolia,529000
Montenegro,2077000
Montserrat,0
Morocco,12289000
Mozambique,2743000
Myanmar,3551000
Namibia,1499000
Nepal,1173000
Netherlands,18780000
New Caledonia,120000
New Zealand,3686000
Nicaragua,1256000
Niger,157000
Nigeria,0
North Macedonia,707000
Norway,5688000
Oman,2301000
Pakistan,0
Palestine,106000
Panama,1785000
Papua New Guinea,140000
Paraguay,1181000
Peru,4419000
Philippines,7168000
Poland,19622000
Portugal,16186000
Qatar,1819300
Romania,11720000
Russia,24551000
Rwanda,0
Réunion,164000
S. Korea,15347000
Saint Kitts and Nevis,125000
Saint Lucia,395000
Saint Martin,0
Saint Pierre Miquelon,0
San Marino,84000
Sao Tome and Principe,33400
Saudi Arabia,15334000
Senegal,0
Serbia,1711000
Seychelles,362000
Sierra Leone,57000
Singapore,14673000
Sint Maarten,178000
Slovakia,2256000
Slovenia,4425000
Somalia,0
South Africa,10472000
South Sudan,0
Spain,82773000
Sri Lanka,2334000
St. Barth,0
St. Vincent Grenadines,80000
Sudan,836000
Suriname,278000
Sweden,7440000
Switzerland,10362000
Syria,0
Taiwan,1000000
Tajikistan,1035000
Tanzania,1378000
Thailand,38178000
Timor-Leste,75000
Togo,573000
Trinidad and Tobago,375000
Tunisia,8299000
Turkey,45768000
Turks and Caicos,441000
UAE,21286000
UK,36316000
USA,79745920
Uganda,1402000
Ukraine,14104000
Uruguay,3469000
Uzbekistan,5346000
Vatican City,116000
Venezuela,427000
Vietnam,15498000
Western Sahara,381000
Yemen,0
Zambia,1072000
Zimbabwe,2580000
